timestamp,vehicle_id,status,duration_stopped_sec,bbox_x1_y1_x2_y2
2026-05-31 16:18:12,0,ILLEGAL PARKING,10.0,"(np.int64(243), np.int64(400), np.int64(412), np.int64(517))"
2026-05-31 16:23:59,0,ILLEGAL PARKING,10.0,"(np.int64(243), np.int64(400), np.int64(412), np.int64(517))"
2026-05-31 16:29:25,0,ILLEGAL PARKING,10.0,"(np.int64(242), np.int64(400), np.int64(412), np.int64(517))"
2026-05-31 16:29:37,2,ILLEGAL PARKING,10.0,"(np.int64(242), np.int64(399), np.int64(410), np.int64(518))"
2026-05-31 16:33:22,0,ILLEGAL PARKING,10.0,"(np.int64(242), np.int64(400), np.int64(412), np.int64(517))"
2026-05-31 16:33:35,2,ILLEGAL PARKING,10.0,"(np.int64(242), np.int64(399), np.int64(410), np.int64(518))"
2026-05-31 16:37:38,0,ILLEGAL PARKING,10.0,"(np.int64(242), np.int64(400), np.int64(412), np.int64(517))"
2026-05-31 16:37:50,3,ILLEGAL PARKING,10.0,"(np.int64(242), np.int64(399), np.int64(410), np.int64(518))"
2026-05-31 16:41:06,0,ILLEGAL PARKING,10.0,"(np.int64(243), np.int64(400), np.int64(412), np.int64(517))"
2026-05-31 16:41:18,3,ILLEGAL PARKING,10.0,"(np.int64(243), np.int64(400), np.int64(410), np.int64(518))"
2026-05-31 16:44:07,0,ILLEGAL PARKING,10.0,"(np.int64(243), np.int64(400), np.int64(412), np.int64(517))"
2026-05-31 16:44:19,3,ILLEGAL PARKING,10.0,"(np.int64(243), np.int64(400), np.int64(410), np.int64(518))"
2026-05-31 23:28:33,0,ILLEGAL PARKING,10.0,"(np.int64(243), np.int64(400), np.int64(412), np.int64(517))"
2026-05-31 23:28:45,3,ILLEGAL PARKING,10.0,"(np.int64(243), np.int64(400), np.int64(410), np.int64(518))"
