timestamp,vehicle_id,status,duration_stopped_sec,bbox_x1_y1_x2_y2
2026-05-31 16:38:03,14,ILLEGAL PARKING,10.0,"(np.int64(77), np.int64(106), np.int64(236), np.int64(228))"
2026-05-31 16:38:04,9,ILLEGAL PARKING,10.0,"(np.int64(852), np.int64(39), np.int64(925), np.int64(108))"
2026-05-31 16:38:04,10,ILLEGAL PARKING,10.4,"(np.int64(805), np.int64(12), np.int64(877), np.int64(77))"
2026-05-31 16:38:09,15,ILLEGAL PARKING,10.0,"(np.int64(852), np.int64(40), np.int64(926), np.int64(106))"
2026-05-31 16:38:09,17,ILLEGAL PARKING,10.0,"(np.int64(905), np.int64(75), np.int64(1006), np.int64(157))"
2026-05-31 16:41:31,1,ILLEGAL PARKING,10.0,"(np.int64(955), np.int64(109), np.int64(1061), np.int64(199))"
2026-05-31 16:41:31,9,ILLEGAL PARKING,10.0,"(np.int64(851), np.int64(39), np.int64(926), np.int64(108))"
2026-05-31 16:41:31,7,ILLEGAL PARKING,10.0,"(np.int64(231), np.int64(66), np.int64(325), np.int64(136))"
2026-05-31 16:41:31,6,ILLEGAL PARKING,10.0,"(np.int64(881), np.int64(51), np.int64(962), np.int64(132))"
2026-05-31 16:41:31,8,ILLEGAL PARKING,10.0,"(np.int64(270), np.int64(39), np.int64(356), np.int64(110))"
2026-05-31 16:41:31,5,ILLEGAL PARKING,10.0,"(np.int64(338), np.int64(26), np.int64(404), np.int64(76))"
2026-05-31 16:41:31,14,ILLEGAL PARKING,10.0,"(np.int64(79), np.int64(106), np.int64(236), np.int64(227))"
2026-05-31 16:41:32,10,ILLEGAL PARKING,10.0,"(np.int64(815), np.int64(13), np.int64(876), np.int64(76))"
2026-05-31 16:41:35,4,ILLEGAL PARKING,10.0,"(np.int64(1179), np.int64(206), np.int64(1279), np.int64(382))"
2026-05-31 16:41:35,15,ILLEGAL PARKING,10.0,"(np.int64(852), np.int64(39), np.int64(926), np.int64(108))"
2026-05-31 16:41:37,17,ILLEGAL PARKING,10.13,"(np.int64(905), np.int64(75), np.int64(1006), np.int64(156))"
2026-05-31 16:44:33,1,ILLEGAL PARKING,10.0,"(np.int64(955), np.int64(109), np.int64(1061), np.int64(199))"
2026-05-31 16:44:33,9,ILLEGAL PARKING,10.0,"(np.int64(851), np.int64(39), np.int64(926), np.int64(108))"
2026-05-31 16:44:33,7,ILLEGAL PARKING,10.0,"(np.int64(231), np.int64(66), np.int64(325), np.int64(136))"
2026-05-31 16:44:33,6,ILLEGAL PARKING,10.0,"(np.int64(881), np.int64(51), np.int64(962), np.int64(132))"
2026-05-31 16:44:33,8,ILLEGAL PARKING,10.0,"(np.int64(270), np.int64(39), np.int64(356), np.int64(110))"
2026-05-31 16:44:33,5,ILLEGAL PARKING,10.0,"(np.int64(338), np.int64(26), np.int64(404), np.int64(76))"
2026-05-31 16:44:33,14,ILLEGAL PARKING,10.0,"(np.int64(79), np.int64(106), np.int64(236), np.int64(227))"
2026-05-31 16:44:34,10,ILLEGAL PARKING,10.0,"(np.int64(815), np.int64(13), np.int64(876), np.int64(76))"
2026-05-31 16:44:37,4,ILLEGAL PARKING,10.0,"(np.int64(1179), np.int64(206), np.int64(1279), np.int64(382))"
2026-05-31 16:44:37,15,ILLEGAL PARKING,10.0,"(np.int64(852), np.int64(39), np.int64(926), np.int64(108))"
2026-05-31 16:44:39,17,ILLEGAL PARKING,10.13,"(np.int64(905), np.int64(75), np.int64(1006), np.int64(156))"
2026-05-31 23:28:57,1,ILLEGAL PARKING,10.0,"(np.int64(955), np.int64(109), np.int64(1061), np.int64(199))"
2026-05-31 23:28:57,9,ILLEGAL PARKING,10.0,"(np.int64(851), np.int64(39), np.int64(926), np.int64(108))"
2026-05-31 23:28:57,7,ILLEGAL PARKING,10.0,"(np.int64(231), np.int64(66), np.int64(325), np.int64(136))"
2026-05-31 23:28:57,6,ILLEGAL PARKING,10.0,"(np.int64(881), np.int64(51), np.int64(962), np.int64(132))"
2026-05-31 23:28:57,8,ILLEGAL PARKING,10.0,"(np.int64(270), np.int64(39), np.int64(356), np.int64(110))"
2026-05-31 23:28:57,5,ILLEGAL PARKING,10.0,"(np.int64(338), np.int64(26), np.int64(404), np.int64(76))"
2026-05-31 23:28:57,14,ILLEGAL PARKING,10.0,"(np.int64(79), np.int64(106), np.int64(236), np.int64(227))"
2026-05-31 23:28:58,10,ILLEGAL PARKING,10.0,"(np.int64(815), np.int64(13), np.int64(876), np.int64(76))"
2026-05-31 23:29:01,4,ILLEGAL PARKING,10.0,"(np.int64(1179), np.int64(206), np.int64(1279), np.int64(382))"
2026-05-31 23:29:01,15,ILLEGAL PARKING,10.0,"(np.int64(852), np.int64(39), np.int64(926), np.int64(108))"
2026-05-31 23:29:02,17,ILLEGAL PARKING,10.13,"(np.int64(905), np.int64(75), np.int64(1006), np.int64(156))"
